vehicle_type,payment_method,ride_distance,booking_hour,cancelled
Bike,Cash,13,22,0
Prime SUV,UPI,40,19,0
Mini,Credit Card,45,9,0
Mini,UPI,41,4,0
Bike,Cash,49,9,0
Prime Plus,Cash,46,23,0
Prime Plus,Cash,18,4,0
Auto,UPI,8,13,0
Bike,UPI,18,9,0
Bike,UPI,23,10,0
Bike,Cash,8,23,0
Prime SUV,UPI,17,11,0
eBike,Cash,33,14,0
eBike,Cash,34,20,0
Prime Sedan,Cash,2,22,0
Bike,Cash,6,18,0
Prime Plus,Cash,28,21,0
Mini,UPI,44,21,0
Mini,UPI,35,3,0
Auto,UPI,2,17,0
Prime SUV,Cash,20,19,0
eBike,Cash,38,6,0
Prime Sedan,Cash,33,12,0
Prime Sedan,Cash,45,11,0
eBike,UPI,49,5,0
Prime Plus,UPI,41,0,0
Prime Plus,UPI,6,21,0
Prime SUV,Cash,21,3,0
Prime Plus,UPI,24,15,0
Prime SUV,Cash,11,20,0
Mini,Cash,4,11,0
Prime Plus,Cash,5,18,0
eBike,Cash,19,22,0
Prime SUV,Cash,34,13,0
Prime SUV,Cash,25,3,0
Bike,UPI,25,3,0
eBike,Cash,14,5,0
Prime Plus,UPI,30,2,0
eBike,UPI,9,4,0
Mini,Cash,11,10,0
Mini,UPI,27,0,0
Prime SUV,UPI,24,13,0
Prime Plus,Cash,24,7,0
Auto,UPI,5,1,0
Prime Sedan,Cash,43,2,0
Mini,Cash,39,16,0
Mini,Cash,1,19,0
Mini,Cash,45,13,0
Auto,UPI,7,19,0
Mini,UPI,21,13,0
eBike,Cash,27,4,0
eBike,Cash,18,14,0
Prime SUV,Cash,40,14,0
Prime Sedan,UPI,20,19,0
Bike,Cash,37,9,0
Auto,UPI,4,1,0
Mini,Cash,37,1,0
eBike,UPI,17,11,0
Bike,UPI,37,10,0
Mini,UPI,22,9,0
Prime SUV,UPI,6,6,0
Prime Sedan,Cash,42,12,0
Auto,Cash,19,4,0
Auto,UPI,12,5,0
Bike,Cash,44,8,0
eBike,Cash,43,12,0
Auto,Cash,8,8,0
Bike,UPI,41,2,0
Prime Sedan,UPI,5,7,0
Mini,Cash,22,4,0
Prime Sedan,Cash,44,21,0
Mini,Cash,14,11,0
Bike,UPI,49,10,0
Prime Plus,Cash,32,18,0
Bike,UPI,2,3,0
Prime Sedan,UPI,16,10,0
Prime SUV,Cash,49,9,0
Prime SUV,Cash,11,18,0
Mini,Credit Card,2,11,0
Prime Sedan,UPI,39,10,0
Prime Sedan,UPI,37,21,0
Auto,Cash,10,19,0
Auto,UPI,10,7,0
Prime SUV,Cash,37,4,0
Bike,Cash,34,16,0
Prime Sedan,Cash,16,23,0
Prime Plus,UPI,4,4,0
Auto,UPI,8,19,0
Mini,UPI,2,10,0
Mini,Cash,34,15,0
Mini,Cash,31,8,0
Auto,Cash,4,11,0
eBike,Cash,37,6,0
Prime SUV,UPI,10,7,0
Auto,Cash,7,13,0
Prime Plus,UPI,38,2,0
Prime SUV,Cash,11,16,0
Prime SUV,UPI,47,6,0
Prime SUV,Cash,28,7,0
Bike,Cash,5,1,0
eBike,UPI,34,18,0
Auto,UPI,18,3,0
Prime Sedan,UPI,45,14,0
Prime Sedan,Credit Card,11,9,0
Auto,Debit Card,7,10,0
Prime Plus,Credit Card,13,9,0
Auto,Cash,1,10,0
Prime SUV,Cash,42,15,0
Auto,Cash,8,4,0
Auto,UPI,6,5,0
Prime SUV,Cash,19,11,0
Auto,UPI,15,15,0
Prime SUV,UPI,13,18,0
Mini,UPI,41,12,0
Prime SUV,Cash,45,16,0
Prime Sedan,UPI,16,10,0
Prime Plus,Cash,3,8,0
Bike,Cash,20,11,0
Prime SUV,Credit Card,28,1,0
Bike,Cash,25,0,0
Prime SUV,Cash,2,0,0
Prime SUV,Cash,36,0,0
Mini,Credit Card,22,16,0
Prime SUV,UPI,23,22,0
Mini,Cash,6,3,0
Prime Sedan,Cash,36,18,0
Auto,UPI,5,17,0
eBike,UPI,39,10,0
Prime Plus,UPI,24,16,0
Mini,UPI,40,0,0
Mini,UPI,27,16,0
eBike,Cash,2,2,0
Auto,Cash,6,22,0
Bike,Cash,25,0,0
Bike,Cash,27,22,0
Bike,UPI,34,18,0
Prime Sedan,Cash,9,10,0
Auto,Cash,15,8,0
Prime Plus,UPI,48,18,0
Auto,Cash,8,12,0
Auto,Cash,9,10,0
Prime Sedan,Cash,14,9,0
Prime SUV,UPI,6,20,0
Prime Plus,Cash,11,10,0
eBike,Cash,28,1,0
Prime Sedan,Cash,18,21,0
Bike,Cash,12,16,0
Bike,Cash,31,11,0
Prime Sedan,UPI,27,1,0
eBike,Cash,40,17,0
Prime Sedan,UPI,33,5,0
Prime SUV,Cash,26,21,0
Prime Plus,UPI,18,8,0
Bike,UPI,4,10,0
Prime SUV,Cash,2,11,0
Prime Sedan,UPI,23,3,0
Prime Sedan,Cash,5,7,0
Auto,Cash,12,10,0
Bike,UPI,49,9,0
Mini,Cash,1,16,0
Auto,Cash,15,3,0
Prime Sedan,Cash,28,6,0
Prime Plus,UPI,48,8,0
Mini,UPI,2,19,0
Bike,UPI,28,12,0
eBike,UPI,27,12,0
Prime Sedan,Cash,23,15,0
Prime Plus,Cash,14,21,0
Prime SUV,Cash,43,18,0
Mini,UPI,24,19,0
Mini,Credit Card,41,23,0
Prime SUV,UPI,17,6,0
Prime Sedan,Credit Card,21,9,0
Prime Plus,UPI,22,7,0
Bike,Cash,20,23,0
Prime Sedan,UPI,17,5,0
Bike,Cash,48,3,0
Prime SUV,UPI,32,21,0
Auto,UPI,1,7,0
Prime Plus,UPI,23,7,0
eBike,UPI,26,6,0
eBike,Cash,21,11,0
Auto,Cash,18,10,0
Auto,UPI,11,19,0
Mini,Cash,9,11,0
eBike,UPI,5,5,0
Prime Sedan,Cash,41,8,0
Prime Plus,Cash,35,9,0
Bike,Cash,38,2,0
Auto,UPI,7,4,0
Prime Plus,Cash,31,3,0
eBike,UPI,4,1,0
Mini,UPI,1,18,0
eBike,Cash,2,8,0
eBike,Cash,3,22,0
Mini,UPI,12,18,0
Prime Plus,Cash,3,16,0
Prime SUV,Cash,38,2,0
eBike,Cash,14,13,0
Bike,UPI,31,22,0
eBike,Cash,40,17,0
Prime Sedan,Cash,7,11,0
eBike,UPI,48,5,0
Mini,UPI,16,7,0
Auto,UPI,11,17,0
Mini,Cash,13,20,0
Bike,Cash,14,20,0
Mini,Cash,13,15,0
Prime Plus,Cash,25,19,0
eBike,Credit Card,30,7,0
Prime Sedan,Cash,42,4,0
Prime Sedan,UPI,27,15,0
Bike,Cash,14,3,0
eBike,UPI,43,15,0
Auto,UPI,7,18,0
eBike,Cash,15,15,0
Auto,UPI,7,15,0
Auto,UPI,16,13,0
Prime Plus,UPI,15,15,0
Auto,Cash,3,6,0
Prime Plus,Cash,14,9,0
Bike,Cash,18,8,0
Prime Sedan,UPI,40,18,0
eBike,Cash,14,9,0
Prime Plus,Cash,22,12,0
Prime Plus,Cash,13,6,0
Mini,UPI,33,15,0
Prime Sedan,Cash,32,6,0
Prime Sedan,UPI,13,2,0
Mini,Cash,3,15,0
Prime SUV,Cash,48,22,0
Prime Sedan,UPI,22,21,0
Prime SUV,Cash,6,16,0
Prime SUV,UPI,31,2,0
Bike,Credit Card,24,19,0
Auto,Cash,7,8,0
Prime Sedan,UPI,14,6,0
eBike,UPI,3,12,0
Auto,UPI,5,21,0
Auto,UPI,7,22,0
Bike,Cash,16,10,0
Prime SUV,Credit Card,2,20,0
eBike,UPI,3,12,0
Auto,Credit Card,12,1,0
Prime SUV,Cash,49,23,0
Bike,UPI,23,13,0
Prime SUV,Cash,1,20,0
Mini,Cash,37,17,0
Prime SUV,Cash,8,13,0
eBike,UPI,16,10,0
Prime SUV,UPI,21,23,0
eBike,UPI,4,8,0
Prime Sedan,UPI,29,16,0
Prime Plus,UPI,26,3,0
Bike,Cash,4,8,0
Mini,Cash,34,1,0
eBike,UPI,34,17,0
Prime SUV,Cash,30,7,0
Mini,UPI,14,0,0
eBike,UPI,8,18,0
Prime SUV,Cash,19,20,0
Prime Plus,UPI,6,17,0
Auto,Cash,17,10,0
Auto,UPI,13,8,0
Prime SUV,Cash,5,9,0
Auto,UPI,7,20,0
Auto,Cash,7,8,0
Prime SUV,Cash,20,12,0
Prime SUV,Cash,24,15,0
Prime Sedan,Cash,44,11,0
Auto,Cash,4,16,0
Auto,Cash,15,0,0
Prime Plus,Cash,26,11,0
Prime Plus,UPI,33,13,0
Auto,UPI,8,22,0
Prime Sedan,UPI,24,21,0
Prime Sedan,UPI,45,7,0
Auto,Cash,8,21,0
Prime Sedan,Cash,22,1,0
Prime SUV,Cash,23,14,0
Auto,UPI,18,2,0
Mini,Debit Card,44,19,0
Prime Sedan,Cash,31,0,0
Prime Plus,Cash,33,10,0
Prime Sedan,Cash,18,11,0
Prime Plus,Cash,23,13,0
Prime Sedan,UPI,10,12,0
Mini,UPI,1,3,0
